"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"Nervous System"	"31010-31040"	"2000"	"2000"	17990	263070090	6.9
	"Nervous System"	"31010-31040"	"2001"	"2001"	18151	269166810	6.8
	"Nervous System"	"31010-31040"	"2002"	"2002"	18674	271110563	6.9
	"Nervous System"	"31010-31040"	"2003"	"2003"	19868	290107933	6.8
	"Nervous System"	"31010-31040"	"2004"	"2004"	20480	292805298	6.9
	"Nervous System"	"31010-31040"	"2005"	"2005"	20543	295312662	6.8
	"Nervous System"	"31010-31040"	"2006"	"2006"	20757	298379912	6.8
	"Nervous System"	"31010-31040"	"2007"	"2007"	21185	301231207	6.8
	"Nervous System"	"31010-31040"	"2008"	"2008"	21574	304093966	6.9
	"Nervous System"	"31010-31040"	"2009"	"2009"	21774	306771529	6.8
	"Nervous System"	"31010-31040"	"2010"	"2010"	21614	309347057	6.7
	"Nervous System"	"31010-31040"	"2011"	"2011"	21535	309003046	6.6
	"Nervous System"	"31010-31040"	"2012"	"2012"	21763	311356833	6.5
	"Nervous System"	"31010-31040"	"2013"	"2013"	21848	313706037	6.5
	"Breast"	"26000"	"2000"	"2000"	189245	263070090	72.7
	"Breast"	"26000"	"2001"	"2001"	193933	269166810	72.3
	"Breast"	"26000"	"2002"	"2002"	192417	271110563	70.5
	"Breast"	"26000"	"2003"	"2003"	196652	290107933	66.7
	"Breast"	"26000"	"2004"	"2004"	197666	292805298	65.9
	"Breast"	"26000"	"2005"	"2005"	200596	295312662	65.7
	"Breast"	"26000"	"2006"	"2006"	205121	298379912	65.9
	"Breast"	"26000"	"2007"	"2007"	211534	301231207	66.7
	"Breast"	"26000"	"2008"	"2008"	217136	304093966	67.2
	"Breast"	"26000"	"2009"	"2009"	222607	306771529	67.6
	"Breast"	"26000"	"2010"	"2010"	219169	309347057	65.3
	"Breast"	"26000"	"2011"	"2011"	224887	309003046	66.4
	"Breast"	"26000"	"2012"	"2012"	228013	311356833	66.1
	"Breast"	"26000"	"2013"	"2013"	232924	313706037	66.3
	"Cervical"	"27010"	"2000"	"2000"	13153	133948880	9.6
	"Cervical"	"27010"	"2001"	"2001"	12710	136990170	9.1
	"Cervical"	"27010"	"2002"	"2002"	12326	137930508	8.7
	"Cervical"	"27010"	"2003"	"2003"	12683	147679036	8.4
	"Cervical"	"27010"	"2004"	"2004"	12477	148977286	8.2
	"Cervical"	"27010"	"2005"	"2005"	12760	150213467	8.3
	"Cervical"	"27010"	"2006"	"2006"	12683	151732647	8.2
	"Cervical"	"27010"	"2007"	"2007"	12672	153166353	8.1
	"Cervical"	"27010"	"2008"	"2008"	12693	154604015	8.0
	"Cervical"	"27010"	"2009"	"2009"	12839	155964075	8.0
	"Cervical"	"27010"	"2010"	"2010"	12445	157257573	7.7
	"Cervical"	"27010"	"2011"	"2011"	12281	157079246	7.6
	"Cervical"	"27010"	"2012"	"2012"	12191	158216309	7.5
	"Cervical"	"27010"	"2013"	"2013"	11955	159369006	7.2
	"Colon"	"21041-21052"	"2000"	"2000"	145427	263070090	56.0
	"Colon"	"21041-21052"	"2001"	"2001"	147231	269166810	55.1
	"Colon"	"21041-21052"	"2002"	"2002"	145777	271110563	53.8
	"Colon"	"21041-21052"	"2003"	"2003"	153613	290107933	52.6
	"Colon"	"21041-21052"	"2004"	"2004"	151737	292805298	51.0
	"Colon"	"21041-21052"	"2005"	"2005"	150437	295312662	49.7
	"Colon"	"21041-21052"	"2006"	"2006"	148603	298379912	48.2
	"Colon"	"21041-21052"	"2007"	"2007"	147995	301231207	47.0
	"Colon"	"21041-21052"	"2008"	"2008"	147021	304093966	45.7
	"Colon"	"21041-21052"	"2009"	"2009"	142962	306771529	43.5
	"Colon"	"21041-21052"	"2010"	"2010"	139176	309347057	41.5
	"Colon"	"21041-21052"	"2011"	"2011"	137549	309003046	40.6
	"Colon"	"21041-21052"	"2012"	"2012"	136316	311356833	39.3
	"Colon"	"21041-21052"	"2013"	"2013"	136119	313706037	38.4
	"Uterine"	"27020"	"2000"	"2000"	32648	133948880	23.0
	"Uterine"	"27020"	"2001"	"2001"	34409	136990170	23.6
	"Uterine"	"27020"	"2002"	"2002"	34599	137930508	23.3
	"Uterine"	"27020"	"2003"	"2003"	35768	147679036	22.3
	"Uterine"	"27020"	"2004"	"2004"	37318	148977286	22.8
	"Uterine"	"27020"	"2005"	"2005"	38462	150213467	23.1
	"Uterine"	"27020"	"2006"	"2006"	39552	151732647	23.3
	"Uterine"	"27020"	"2007"	"2007"	40996	153166353	23.6
	"Uterine"	"27020"	"2008"	"2008"	42542	154604015	24.0
	"Uterine"	"27020"	"2009"	"2009"	44367	155964075	24.5
	"Uterine"	"27020"	"2010"	"2010"	45358	157257573	24.5
	"Uterine"	"27020"	"2011"	"2011"	46403	157079246	24.8
	"Uterine"	"27020"	"2012"	"2012"	47824	158216309	25.0
	"Uterine"	"27020"	"2013"	"2013"	48937	159369006	25.0
	"Esophagus"	"21010"	"2000"	"2000"	13053	263070090	5.0
	"Esophagus"	"21010"	"2001"	"2001"	13384	269166810	5.0
	"Esophagus"	"21010"	"2002"	"2002"	13349	271110563	4.9
	"Esophagus"	"21010"	"2003"	"2003"	14705	290107933	5.0
	"Esophagus"	"21010"	"2004"	"2004"	15291	292805298	5.1
	"Esophagus"	"21010"	"2005"	"2005"	15233	295312662	5.0
	"Esophagus"	"21010"	"2006"	"2006"	15675	298379912	5.0
	"Esophagus"	"21010"	"2007"	"2007"	15732	301231207	4.9
	"Esophagus"	"21010"	"2008"	"2008"	16340	304093966	5.0
	"Esophagus"	"21010"	"2009"	"2009"	16542	306771529	4.9
	"Esophagus"	"21010"	"2010"	"2010"	15913	309347057	4.6
	"Esophagus"	"21010"	"2011"	"2011"	16157	309003046	4.6
	"Esophagus"	"21010"	"2012"	"2012"	16180	311356833	4.6
	"Esophagus"	"21010"	"2013"	"2013"	16432	313706037	4.5
	"Gallbladder"	"21080"	"2000"	"2000"	3012	263070090	1.2
	"Gallbladder"	"21080"	"2001"	"2001"	3201	269166810	1.2
	"Gallbladder"	"21080"	"2002"	"2002"	3033	271110563	1.1
