"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	Count	Population	Age-Adjusted Rate
	"Breast"	"26000"	"2000"	"2000"	189245	263070090	72.7
	"Breast"	"26000"	"2001"	"2001"	193933	269166810	72.3
	"Breast"	"26000"	"2002"	"2002"	192417	271110563	70.5
	"Breast"	"26000"	"2003"	"2003"	196652	290107933	66.7
	"Breast"	"26000"	"2004"	"2004"	197666	292805298	65.9
	"Breast"	"26000"	"2005"	"2005"	200596	295312662	65.7
	"Breast"	"26000"	"2006"	"2006"	205121	298379912	65.9
	"Breast"	"26000"	"2007"	"2007"	211534	301231207	66.7
	"Breast"	"26000"	"2008"	"2008"	217136	304093966	67.2
	"Breast"	"26000"	"2009"	"2009"	222607	306771529	67.6
	"Breast"	"26000"	"2010"	"2010"	219169	309347057	65.3
	"Breast"	"26000"	"2011"	"2011"	224887	309003046	66.4
	"Breast"	"26000"	"2012"	"2012"	228013	311356833	66.1
	"Breast"	"26000"	"2013"	"2013"	232924	313706037	66.3
	"Colon"	"21041-21052"	"2000"	"2000"	145427	263070090	56.0
	"Colon"	"21041-21052"	"2001"	"2001"	147231	269166810	55.1
	"Colon"	"21041-21052"	"2002"	"2002"	145777	271110563	53.8
	"Colon"	"21041-21052"	"2003"	"2003"	153613	290107933	52.6
	"Colon"	"21041-21052"	"2004"	"2004"	151737	292805298	51.0
	"Colon"	"21041-21052"	"2005"	"2005"	150437	295312662	49.7
	"Colon"	"21041-21052"	"2006"	"2006"	148603	298379912	48.2
	"Colon"	"21041-21052"	"2007"	"2007"	147995	301231207	47.0
	"Colon"	"21041-21052"	"2008"	"2008"	147021	304093966	45.7
	"Colon"	"21041-21052"	"2009"	"2009"	142962	306771529	43.5
	"Colon"	"21041-21052"	"2010"	"2010"	139176	309347057	41.5
	"Colon"	"21041-21052"	"2011"	"2011"	137549	309003046	40.6
	"Colon"	"21041-21052"	"2012"	"2012"	136316	311356833	39.3
	"Colon"	"21041-21052"	"2013"	"2013"	136119	313706037	38.4
	"Uterine"	"27020"	"2000"	"2000"	32648	133948880	23.0
	"Uterine"	"27020"	"2001"	"2001"	34409	136990170	23.6
	"Uterine"	"27020"	"2002"	"2002"	34599	137930508	23.3
	"Uterine"	"27020"	"2003"	"2003"	35768	147679036	22.3
	"Uterine"	"27020"	"2004"	"2004"	37318	148977286	22.8
	"Uterine"	"27020"	"2005"	"2005"	38462	150213467	23.1
	"Uterine"	"27020"	"2006"	"2006"	39552	151732647	23.3
	"Uterine"	"27020"	"2007"	"2007"	40996	153166353	23.6
	"Uterine"	"27020"	"2008"	"2008"	42542	154604015	24.0
	"Uterine"	"27020"	"2009"	"2009"	44367	155964075	24.5
	"Uterine"	"27020"	"2010"	"2010"	45358	157257573	24.5
	"Uterine"	"27020"	"2011"	"2011"	46403	157079246	24.8
	"Uterine"	"27020"	"2012"	"2012"	47824	158216309	25.0
	"Uterine"	"27020"	"2013"	"2013"	48937	159369006	25.0
	"Kidney"	"29020"	"2000"	"2000"	33169	263070090	12.8
	"Kidney"	"29020"	"2001"	"2001"	35614	269166810	13.3
	"Kidney"	"29020"	"2002"	"2002"	37361	271110563	13.7
	"Kidney"	"29020"	"2003"	"2003"	41799	290107933	14.2
	"Kidney"	"29020"	"2004"	"2004"	43931	292805298	14.7
	"Kidney"	"29020"	"2005"	"2005"	46260	295312662	15.2
	"Kidney"	"29020"	"2006"	"2006"	48680	298379912	15.7
	"Kidney"	"29020"	"2007"	"2007"	50696	301231207	16.0
	"Kidney"	"29020"	"2008"	"2008"	52605	304093966	16.2
	"Kidney"	"29020"	"2009"	"2009"	53645	306771529	16.2
	"Kidney"	"29020"	"2010"	"2010"	53319	309347057	15.8
	"Kidney"	"29020"	"2011"	"2011"	54404	309003046	16.0
	"Kidney"	"29020"	"2012"	"2012"	56018	311356833	16.1
